msg_id,date,title,brand,category,price,sizes,stock,description
32825,2026-06-17,Футболка Martine rose,Other,Tee,1500.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32824,2026-06-17,Футболка Bape x Hello Kitty,BAPE,Tee,1500.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32802,2026-06-16,Футболка Yohji Yamamoto,Other,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32791,2026-06-15,Футболка Yohji Yamamoto,Other,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32782,2026-06-15,Футболка Vetements,Other,Tee,1200.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32775,2026-06-15,Футболка Comme des Fuckdown,Other,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32765,2026-06-15,Футболка Maison Margiela,Other,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32755,2026-06-15,Футболка Supreme,Other,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32744,2026-06-14,Футболка Kenzo,Kenzo,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32732,2026-06-14,Футболка Calvin Klein,Louis Vuitton,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32722,2026-06-14,Футболка Levis,Other,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32721,2026-06-13,Футболка Oakley,Oakley,Tee,1100.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32703,2026-06-13,Футболка Bape,BAPE,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32701,2026-06-13,Лонгслив Kenzo,Kenzo,Longsleeve,1300.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32684,2026-06-13,Футболка Bape,BAPE,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32674,2026-06-13,Футболка Oakley,Oakley,Tee,1100.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32660,2026-06-11,Футболка Corteiz,Corteiz,Tee,1100.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32659,2026-06-11,ВНЕПЛАНОВАЯ РАСПРОДАЖА ШОРТ,New Balance,Krossovki,550.0,—,1,"Big polar boy - 4шт
Corteiz - 9шт
Отправка от 3х штук, миксом
Цена: 550₽ шт"
32652,2026-06-11,Футболка Corteiz,Corteiz,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32646,2026-06-11,Футболка Corteiz,Corteiz,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32635,2026-06-11,Футболка Corteiz,Corteiz,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32619,2026-06-09,Лонгслив Bape x Spanch Bob,BAPE,Longsleeve,1300.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32609,2026-06-09,Лонгслив Bape x Chrome Hearts,Chrome Hearts,Longsleeve,1300.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32608,2026-06-09,В чем его суть и преимущества ?,Other,Other,1000.0,—,1,"1) Супер низкие цены для рынка на позиции которые продаются регулярно.
2) Оптовый заказ от 1000₽
Эти два условия помогут вам накрутить отзывы на авито, прогреть аккаунт, можно начать вести новые аккаунты, да и просто закупиться нужными товарами для себя.
Гайд как раскрутить авито :"
32596,2026-06-09,Лонгслив Acne Studios,Acne Studios,Longsleeve,1300.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32585,2026-06-09,Лонгслив Bape,BAPE,Longsleeve,1300.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32584,2026-06-09,Всем привет 👋🏼,Other,Other,0.0,—,1,"Сегодня на любой оптовый заказ от 10.000₽ кладем подарок и делаем бесплатную доставку 🎁
Весь наш ассортимент можно приобрести сборным оптом"
32571,2026-06-08,Лонгслив Y-3,Other,Longsleeve,1300.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32560,2026-06-07,Рубашка поло Bape,BAPE,Tee,1300.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
