id,code,name,category,price,stock,available,description,image
449799ed-c601-11f0-0a80-0fdd000d26f0,01990,"Лонгслив BAPE Baby Milo Palms (S, Белый)",Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/5ead7a7f-20d2-4da6-9fac-b8ffbf4f1817
449a7c43-c601-11f0-0a80-0fdd000d26f7,01991,"Лонгслив BAPE Baby Milo Palms (XL, Белый)",Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/5ead7a7f-20d2-4da6-9fac-b8ffbf4f1817
256c13c0-b025-11f0-0a80-172100287778,00210,Лонгслив Bape Big a Head,Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/9cc87c1f-8491-4efa-8573-4b7974b238cf
32339c71-b025-11f0-0a80-194f00283763,01896,"Лонгслив Bape Big a Head (2XL, Черный)",Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/9cc87c1f-8491-4efa-8573-4b7974b238cf
3236f421-b025-11f0-0a80-194f0028376a,01897,"Лонгслив Bape Big a Head (L, Черный)",Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/9cc87c1f-8491-4efa-8573-4b7974b238cf
323a5eb5-b025-11f0-0a80-194f00283771,01898,"Лонгслив Bape Big a Head (M, Черный)",Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/9cc87c1f-8491-4efa-8573-4b7974b238cf
323dd241-b025-11f0-0a80-194f00283778,01899,"Лонгслив Bape Big a Head (S, Черный)",Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/9cc87c1f-8491-4efa-8573-4b7974b238cf
3241218e-b025-11f0-0a80-194f0028377f,01900,"Лонгслив Bape Big a Head (XL, Черный)",Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/9cc87c1f-8491-4efa-8573-4b7974b238cf
04495c68-b025-11f0-0a80-159400275f2e,00209,Лонгслив Bape CDG,Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/6b86cf33-6c2e-4aa2-8a47-26e8f41a4ee9
0b913ee6-b025-11f0-0a80-1bab0027c609,01891,"Лонгслив Bape CDG (2XL, Черный)",Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/6b86cf33-6c2e-4aa2-8a47-26e8f41a4ee9
